列標籤,2025/12/1,2025/12/2,2025/12/3,2025/12/4,2025/12/5,2025/12/6,2025/12/7,2025/12/8,2025/12/9,2025/12/10,2025/12/11,2025/12/12,2025/12/13,2025/12/14,2025/12/15,2025/12/16,2025/12/17,2025/12/18,2025/12/19,2025/12/20,2025/12/21,2025/12/22,2025/12/23,2025/12/24,2025/12/25,2025/12/26,2025/12/27,2025/12/28,2025/12/29,2025/12/30,2025/12/31,2026/1/1,2026/1/2,2026/1/3,2026/1/4,2026/1/5,(空白),總計,用量占比(100%)
005WEL03,9,16,2,37,40,0,0,9,9,9,9,56,20,0,13,31,10,9,33,18,0,15,33,28,0,44,32,0,18,18,60,0,27,34,0,20,0,659,0.0564887
005WEM01,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000428594
005WON01,25,19,3,52,69,10,78,3,33,49,62,18,8,14,5,41,9,29,23,42,21,10,30,32,24,13,88,12,40,7,20,32,6,10,0,0,0,937,0.080318531
005XAL03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005XAM01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.000171438
005XAN02,357,492,190,420,897,114,148,358,251,373,346,573,332,117,230,271,309,558,459,426,106,268,309,570,136,650,437,94,374,510,585,193,234,470,137,280,0,12574,1.0778284
005XAN03,15,26,0,91,108,0,0,12,18,9,50,170,30,0,16,14,38,64,90,32,0,54,24,38,0,166,50,1,25,45,83,0,16,28,3,25,0,1341,0.114948933
005XAN04,5,9,10,3,15,7,0,2,4,10,5,2,4,0,3,3,4,4,4,8,0,33,1,8,0,3,6,1,5,4,8,1,2,8,2,6,0,190,0.016286575
005XAR01,4,10,0,5,15,0,9,50,9,8,1,1,2,1,2,3,14,4,4,14,0,4,32,51,14,7,12,7,14,9,9,2,3,4,0,12,0,336,0.028801522
005XEL02,59,114,201,182,220,82,40,102,186,118,174,78,142,56,43,122,180,60,100,56,84,58,136,36,198,156,118,68,59,8,152,182,134,166,17,5,0,3892,0.333617634
005XEL04,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,42,0.00360019
005XEN01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,4,12,0,6,12,0,6,6,8,0,2,4,0,2,0,74,0.006343192
005XGE01,2,3,3,2,3,1,0,1,1,3,6,6,0,0,0,1,5,1,3,0,0,5,5,4,0,3,1,0,1,0,1,0,1,1,1,1,0,65,0.005571723
005XOF03,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0.001028626
005XYZ01,27,26,8,65,52,36,2,74,57,24,79,69,35,12,33,23,18,74,31,110,10,19,12,30,23,101,59,12,51,43,22,34,96,25,10,48,0,1450,0.124292284
005YAZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005YUP01,176,274,32,105,341,14,27,129,105,89,127,129,280,0,114,78,80,70,82,182,0,100,122,326,0,86,282,0,86,108,264,0,50,240,0,95,0,4193,0.359418998
005ZAV04,28,37,6,14,48,11,0,20,23,22,16,19,50,0,24,18,22,17,15,32,0,16,17,39,0,26,44,5,23,27,66,0,31,54,11,39,0,820,0.07028943
005ZEF03,16,37,2,12,49,4,6,20,15,7,5,7,12,0,4,10,11,7,17,27,3,16,14,31,0,10,24,0,10,4,2,0,6,22,0,12,0,422,0.036173341
005ZEJ02,0,0,56,0,0,0,0,0,0,0,0,0,0,70,13,0,0,42,12,0,0,0,360,56,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0.052202759
005ZEL02,5,12,2,3,4,0,0,0,3,3,1,7,2,1,0,2,2,2,5,2,0,0,2,8,1,1,1,0,0,0,6,0,3,1,0,1,0,80,0.006857505
005ZIN05,5,8,13,9,2,1,6,9,7,17,12,10,5,5,4,7,8,12,7,4,10,9,14,13,6,16,7,5,4,18,11,4,10,12,12,6,0,308,0.026401396
005ZIN08,6,12,0,6,18,0,0,6,6,6,6,6,12,0,6,6,6,7,7,14,0,7,7,14,0,7,14,0,6,6,12,0,6,12,0,6,0,227,0.019458171
005ZIN10,23,28,5,22,63,0,0,13,15,17,13,10,26,0,13,11,15,17,19,38,2,19,17,32,3,8,34,3,17,23,42,0,21,52,0,23,0,644,0.055202918
005ZOL01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.000342875
005ZOL02,25,31,3,52,101,0,1,42,25,49,19,113,46,0,35,18,30,50,39,41,3,45,22,33,0,76,29,0,60,20,39,20,13,21,0,27,0,1128,0.096690825
005ZOL03,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.000514313
005ZON01,8,16,0,8,24,0,0,7,9,9,9,9,18,7,7,7,12,9,7,14,0,10,7,23,24,38,10,0,3,0,4,0,0,4,0,6,0,309,0.026487114
